Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),3.80,0.36
kexAB (s^-1),146,11
R1 (s^-1),1.35,0.06
R2 (s^-1),30.45,0.08
Red. Chi-sq,0.80
