Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.29,0.14
kexAB (s^-1),268,28
R1 (s^-1),1.53,0.12
R2 (s^-1),24.95,0.13
Red. Chi-sq,0.47
