Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),4.17,0.21
kexAB (s^-1),193,10
R1 (s^-1),1.61,0.14
R2 (s^-1),31.56,0.17
Red. Chi-sq,0.59
