Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),4.03,0.13
kexAB (s^-1),193,10
R1 (s^-1),1.41,0.11
R2 (s^-1),22.12,0.13
Red. Chi-sq,0.59
