Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),0.65,0.08
kexAB (s^-1),3695,927
R1 (s^-1),2.53,0.07
R2 (s^-1),13.08,0.30
Red. Chi-sq,0.49
