Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),3.03,0.05
kexAB (s^-1),750,19
R1 (s^-1),1.34,0.05
R2 (s^-1),27.49,0.09
Red. Chi-sq,0.18
