Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),2.60,0.10
kexAB (s^-1),1441,174
R1 (s^-1),2.22,0.06
R2 (s^-1),13.33,0.11
Red. Chi-sq,0.22
