Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),4.000,4.000
dwB (ppm),-0.48,0.03
kexAB (s^-1),182,22
R1 (s^-1),1.47,0.03
R2 (s^-1),8.01,0.03
Red. Chi-sq,0.15
