Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),2.47,0.12
kexAB (s^-1),68,7
R1 (s^-1),1.48,0.11
R2 (s^-1),24.98,0.13
Red. Chi-sq,0.45
