Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.411,0.041
dwB (ppm),3.11,0.03
kexAB (s^-1),2280,39
R1 (s^-1),1.25,0.13
R2 (s^-1),17.87,0.22
Red. Chi-sq,0.10
