Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.411,0.041
dwB (ppm),2.43,0.03
kexAB (s^-1),2280,39
R1 (s^-1),2.38,0.13
R2 (s^-1),26.24,0.24
Red. Chi-sq,0.10
