,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
0,0.595104212263,0.00323409304992,0.597990030014,0.00408084433241,-1500.0,9.9990191369,0.2
1,0.584183993144,0.00323409304992,0.576870858221,0.00408084433241,-1442.105,9.9990191369,0.2
2,0.580175041473,0.00323409304992,0.583610813943,0.00408084433241,-1384.211,9.9990191369,0.2
3,0.585188921283,0.00323409304992,0.57854409973,0.00408084433241,-1326.316,9.9990191369,0.2
4,0.595185439615,0.00323409304992,0.586854309679,0.00408084433241,-1268.421,9.9990191369,0.2
5,0.593458143441,0.00323409304992,0.585355282904,0.00408084433241,-1210.526,9.9990191369,0.2
6,0.583285979638,0.00323409304992,0.599944466732,0.00408084433241,-1152.632,9.9990191369,0.2
7,0.581400394265,0.00323409304992,0.576802509584,0.00408084433241,-1094.737,9.9990191369,0.2
8,0.585255222242,0.00323409304992,0.585563393361,0.00408084433241,-1036.842,9.9990191369,0.2
9,0.581747866827,0.00323409304992,0.578060830287,0.00408084433241,-978.9474,9.9990191369,0.2
10,0.596504516275,0.00323409304992,0.596085926124,0.00408084433241,-921.0526,9.9990191369,0.2
11,0.584803959174,0.00323409304992,0.579118005408,0.00408084433241,-863.1579,9.9990191369,0.2
12,0.583746267968,0.00323409304992,0.574847144216,0.00408084433241,-805.2632,9.9990191369,0.2
13,0.585022301074,0.00323409304992,0.583240561202,0.00408084433241,-747.3684,9.9990191369,0.2
14,0.57735985418,0.00323409304992,0.571512919378,0.00408084433241,-689.4737,9.9990191369,0.2
15,0.581312224404,0.00323409304992,0.579912372589,0.00408084433241,-631.5789,9.9990191369,0.2
16,0.575174005303,0.00323409304992,0.582354164809,0.00408084433241,-573.6842,9.9990191369,0.2
17,0.586806525819,0.00323409304992,0.594769007608,0.00408084433241,-515.7895,9.9990191369,0.2
18,0.580342008808,0.00323409304992,0.57310332531,0.00408084433241,-457.8947,9.9990191369,0.2
19,0.590163923045,0.00323409304992,0.585899100324,0.00408084433241,-400.0,9.9990191369,0.2
20,0.590238555014,0.00323409304992,0.58939853199,0.00408084433241,-400.0,9.9990191369,0.2
21,0.573434906865,0.00323409304992,0.575178486523,0.00408084433241,-383.5443,9.9990191369,0.2
22,0.581489258377,0.00323409304992,0.57840470937,0.00408084433241,-367.0886,9.9990191369,0.2
23,0.587592764934,0.00323409304992,0.588286009331,0.00408084433241,-350.6329,9.9990191369,0.2
24,0.57778126446,0.00323409304992,0.581040403703,0.00408084433241,-334.1772,9.9990191369,0.2
25,0.588254386017,0.00323409304992,0.587829485008,0.00408084433241,-317.7215,9.9990191369,0.2
26,0.582887826762,0.00323409304992,0.581695937714,0.00408084433241,-301.2658,9.9990191369,0.2
27,0.574864716539,0.00323409304992,0.579015110992,0.00408084433241,-284.8101,9.9990191369,0.2
28,0.581492382506,0.00323409304992,0.579016411102,0.00408084433241,-268.3544,9.9990191369,0.2
29,0.580188579365,0.00323409304992,0.572723136014,0.00408084433241,-251.8987,9.9990191369,0.2
30,0.580864779716,0.00323409304992,0.583839633295,0.00408084433241,-235.443,9.9990191369,0.2
