Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.717,0.010
dwB (ppm),2.97,0.03
kexAB (s^-1),1766,44
R1 (s^-1),1.98,0.05
R2 (s^-1),20.85,0.09
Red. Chi-sq,0.11
