Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.44,0.03
kexAB (s^-1),2151,75
R1 (s^-1),2.31,0.08
R2 (s^-1),20.19,0.16
Red. Chi-sq,0.33
