Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),3.02,0.03
kexAB (s^-1),1777,44
R1 (s^-1),1.98,0.05
R2 (s^-1),20.87,0.09
Red. Chi-sq,0.11
