Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),3.71,0.04
kexAB (s^-1),1777,44
R1 (s^-1),1.89,0.06
R2 (s^-1),15.15,0.12
Red. Chi-sq,0.11
