Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),0.88,0.09
kexAB (s^-1),3643,669
R1 (s^-1),2.27,0.04
R2 (s^-1),13.95,0.11
Red. Chi-sq,0.37
