Fit #1
gc8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.53,0.07
kexAB (s^-1),5601,985
R1 (s^-1),2.49,0.15
R2 (s^-1),25.88,0.80
Red. Chi-sq,1.60
