Fit #1
gc1p Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.56,0.07
kexAB (s^-1),5601,985
R1 (s^-1),2.26,0.17
R2 (s^-1),16.57,0.75
Red. Chi-sq,1.60
