Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.650,0.650
dwB (ppm),3.37,0.23
kexAB (s^-1),102,7
R1 (s^-1),2.44,0.04
R2 (s^-1),20.38,0.05
Red. Chi-sq,0.25
