Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.43,0.09
kexAB (s^-1),58,6
R1 (s^-1),2.69,0.13
R2 (s^-1),26.10,0.18
Red. Chi-sq,0.94
