Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.27,0.06
kexAB (s^-1),4731,397
R1 (s^-1),3.22,0.09
R2 (s^-1),22.64,0.39
Red. Chi-sq,0.48
