Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.090,0.090
dwB (ppm),3.20,0.17
kexAB (s^-1),2304,319
R1 (s^-1),2.18,0.03
R2 (s^-1),13.90,0.07
Red. Chi-sq,0.23
