Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),1.700,1.700
dwB (ppm),2.46,0.02
kexAB (s^-1),1036,16
R1 (s^-1),4.85,0.05
R2 (s^-1),12.12,0.08
Red. Chi-sq,0.64
