Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),3.25,0.23
kexAB (s^-1),538,36
R1 (s^-1),2.43,0.04
R2 (s^-1),20.36,0.05
Red. Chi-sq,0.26
