Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),4.56,0.26
kexAB (s^-1),538,36
R1 (s^-1),2.11,0.03
R2 (s^-1),14.15,0.05
Red. Chi-sq,0.26
