o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1418,inf,9.75,3.2,12.67,25.36,-100,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,100,303.1498,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1419,inf,9.75,3.2,12.67,25.36,-150,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,150,303.1491,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1420,inf,9.75,3.2,12.67,25.36,-200,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,200,303.1506,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1421,inf,9.75,3.2,12.67,25.36,-250,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,250,303.1491,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1422,inf,9.75,3.2,12.67,25.36,-300,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,300,303.1484,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1423,inf,9.75,3.2,12.67,25.36,-350,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,350,303.1488,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1424,inf,9.75,3.2,12.67,25.36,-400,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,400,303.1479,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1425,inf,9.75,3.2,12.67,25.36,-450,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,450,303.1515,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1426,inf,9.75,3.2,12.67,25.36,-500,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,500,303.149,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1427,inf,9.75,3.2,12.67,25.36,30,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-30,303.1521,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1428,inf,9.75,3.2,12.67,25.36,60,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-60,303.1505,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1429,inf,9.75,3.2,12.67,25.36,100,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-100,303.1532,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1430,inf,9.75,3.2,12.67,25.36,150,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-150,303.1477,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1431,inf,9.75,3.2,12.67,25.36,200,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-200,303.1499,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1432,inf,9.75,3.2,12.67,25.36,250,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-250,303.1482,5.8265
