Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),4.18,0.11
kexAB (s^-1),249,9
R1 (s^-1),0.76,0.14
R2 (s^-1),20.35,0.19
Red. Chi-sq,0.55
