Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),0.93,0.11
kexAB (s^-1),3581,638
R1 (s^-1),2.56,0.04
R2 (s^-1),20.17,0.12
Red. Chi-sq,0.36
