Fit #1
ac1p Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.26,0.05
kexAB (s^-1),4787,295
R1 (s^-1),2.28,0.07
R2 (s^-1),19.13,0.28
Red. Chi-sq,0.36
