Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.65,0.07
kexAB (s^-1),28,4
R1 (s^-1),2.32,0.07
R2 (s^-1),13.90,0.09
Red. Chi-sq,0.39
