Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),4.36,0.17
kexAB (s^-1),229,16
R1 (s^-1),1.24,0.04
R2 (s^-1),21.19,0.05
Red. Chi-sq,0.80
