Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),2.19,0.13
kexAB (s^-1),4961,518
R1 (s^-1),1.91,0.06
R2 (s^-1),29.63,0.36
Red. Chi-sq,0.42
