Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),3.72,0.11
kexAB (s^-1),206,8
R1 (s^-1),1.58,0.07
R2 (s^-1),16.84,0.08
Red. Chi-sq,0.14
