Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),1.71,0.11
kexAB (s^-1),4041,406
R1 (s^-1),2.31,0.13
R2 (s^-1),25.52,0.47
Red. Chi-sq,1.05
