Fit #1
G10_C1p_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),1.97,0.35
kexAB (s^-1),3748,1203
R1 (s^-1),1.67,0.07
R2 (s^-1),14.64,0.25
Red. Chi-sq,0.34
