Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.05,0.08
kexAB (s^-1),5294,637
R1 (s^-1),1.99,0.06
R2 (s^-1),29.44,0.43
Red. Chi-sq,0.55
