Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.251,0.012
dwB (ppm),2.91,0.09
kexAB (s^-1),1321,108
R1 (s^-1),2.22,0.05
R2 (s^-1),23.69,0.08
Red. Chi-sq,0.11
