Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.56,0.05
kexAB (s^-1),60,4
R1 (s^-1),2.13,0.09
R2 (s^-1),27.99,0.12
Red. Chi-sq,0.54
