Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.650,0.650
dwB (ppm),2.62,0.06
kexAB (s^-1),2796,134
R1 (s^-1),1.43,0.12
R2 (s^-1),28.35,0.24
Red. Chi-sq,0.19
