Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),3.82,0.35
kexAB (s^-1),166,12
R1 (s^-1),1.35,0.06
R2 (s^-1),30.45,0.08
Red. Chi-sq,0.80
