param,fitval,fiterror
pB,0.02000,0.00000
pC,0.00000,0.00000
dwB,3.81580,0.09281
dwC,0.00000,0.00000
kexAB,22.07547,14.38460
kexAC,-0.00000,0.00000
kexBC,0.00000,0.00000
R1,2.19234,0.08198
R2,13.16087,0.27358
rchi2,16.76808,0.0
