Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.68,0.06
kexAB (s^-1),3147,193
R1 (s^-1),2.98,0.06
R2 (s^-1),24.56,0.19
Red. Chi-sq,0.22
