Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),4.36,0.17
kexAB (s^-1),495,36
R1 (s^-1),1.23,0.04
R2 (s^-1),21.17,0.05
Red. Chi-sq,0.79
