Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),0.78,0.07
kexAB (s^-1),4022,636
R1 (s^-1),2.24,0.05
R2 (s^-1),21.96,0.20
Red. Chi-sq,0.23
