Date : 8/7/2019	Time : 11:49:11	
C:\UVWINLAB\CG91U1.SP	
23.00	0.5926
23.20	0.5925
23.40	0.5926
23.60	0.5925
23.80	0.5925
24.00	0.5927
24.20	0.5927
24.40	0.5926
24.60	0.5927
24.80	0.5927
25.00	0.5927
25.20	0.5929
25.40	0.5929
25.60	0.5927
25.80	0.5928
26.00	0.5928
26.20	0.5928
26.40	0.5930
26.60	0.5928
26.80	0.5930
27.00	0.5931
27.20	0.5931
27.40	0.5930
27.60	0.5930
27.80	0.5931
28.00	0.5933
28.20	0.5934
28.40	0.5934
28.60	0.5934
28.80	0.5934
29.00	0.5934
29.20	0.5936
29.40	0.5935
29.60	0.5936
29.80	0.5940
30.00	0.5938
30.20	0.5941
30.40	0.5939
30.60	0.5939
30.80	0.5942
31.00	0.5940
31.20	0.5943
31.40	0.5940
31.60	0.5942
31.80	0.5941
32.00	0.5943
32.20	0.5942
32.50	0.5943
32.70	0.5943
33.00	0.5944
33.20	0.5943
33.50	0.5944
33.70	0.5945
34.00	0.5947
34.20	0.5946
34.50	0.5948
34.70	0.5948
35.00	0.5949
35.20	0.5950
35.50	0.5950
35.70	0.5951
36.00	0.5951
36.20	0.5952
36.50	0.5953
36.70	0.5954
37.00	0.5956
37.20	0.5956
37.50	0.5958
37.70	0.5958
38.00	0.5959
38.20	0.5959
38.50	0.5960
38.70	0.5962
39.00	0.5962
39.20	0.5962
39.50	0.5965
39.70	0.5965
40.00	0.5968
40.20	0.5966
40.50	0.5969
40.70	0.5969
41.00	0.5972
41.20	0.5972
41.50	0.5975
41.70	0.5975
42.00	0.5975
42.20	0.5977
42.50	0.5980
42.70	0.5981
43.00	0.5982
43.20	0.5984
43.50	0.5985
43.70	0.5987
44.00	0.5989
44.20	0.5991
44.50	0.5991
44.70	0.5993
45.00	0.5997
45.20	0.5998
45.50	0.6001
45.70	0.6001
46.00	0.6005
46.20	0.6007
46.50	0.6009
46.70	0.6010
47.00	0.6016
47.20	0.6019
47.50	0.6021
47.70	0.6021
48.00	0.6026
48.20	0.6027
48.50	0.6031
48.70	0.6035
49.00	0.6038
49.20	0.6040
49.50	0.6043
49.70	0.6043
50.00	0.6051
50.20	0.6053
50.50	0.6059
50.70	0.6062
51.00	0.6068
51.20	0.6071
51.50	0.6075
51.70	0.6075
52.00	0.6084
52.20	0.6089
52.50	0.6093
52.70	0.6099
53.00	0.6104
53.20	0.6109
53.50	0.6113
53.70	0.6113
54.00	0.6126
54.20	0.6133
54.50	0.6139
54.70	0.6144
55.00	0.6150
55.20	0.6155
55.50	0.6163
55.70	0.6163
56.00	0.6178
56.20	0.6183
56.50	0.6194
56.70	0.6200
57.00	0.6210
57.20	0.6217
57.50	0.6226
57.70	0.6226
58.00	0.6246
58.20	0.6252
58.50	0.6264
58.70	0.6272
59.00	0.6284
59.20	0.6292
59.50	0.6305
59.70	0.6305
60.00	0.6325
60.20	0.6332
60.50	0.6344
60.70	0.6356
61.00	0.6371
61.20	0.6380
61.50	0.6391
61.70	0.6391
62.00	0.6416
62.20	0.6424
62.50	0.6442
62.70	0.6450
63.00	0.6463
63.20	0.6476
63.50	0.6489
63.70	0.6489
64.00	0.6514
64.20	0.6522
64.40	0.6533
64.70	0.6547
64.90	0.6556
65.20	0.6569
65.40	0.6579
65.70	0.6593
65.90	0.6600
66.20	0.6613
66.40	0.6623
66.70	0.6635
66.90	0.6644
67.20	0.6657
67.40	0.6663
67.70	0.6673
67.90	0.6683
68.20	0.6693
68.40	0.6698
68.70	0.6709
68.90	0.6717
69.20	0.6726
69.40	0.6733
69.70	0.6743
69.90	0.6749
70.20	0.6756
70.40	0.6763
70.70	0.6771
70.90	0.6777
71.20	0.6782
71.40	0.6788
71.70	0.6793
71.90	0.6796
72.20	0.6804
72.40	0.6807
72.70	0.6817
72.90	0.6817
73.20	0.6826
73.40	0.6831
73.70	0.6834
73.90	0.6835
74.20	0.6841
74.40	0.6846
74.70	0.6851
74.90	0.6851
75.20	0.6859
75.40	0.6863
75.70	0.6867
75.90	0.6871
76.20	0.6874
76.40	0.6877
76.70	0.6881
76.90	0.6881
77.20	0.6890
77.40	0.6895
77.70	0.6896
77.90	0.6898
78.20	0.6902
78.40	0.6903
78.70	0.6905
78.90	0.6905
79.20	0.6909
79.40	0.6910
79.70	0.6912
79.90	0.6914
80.20	0.6917
80.40	0.6919
80.70	0.6919
80.90	0.6919
81.20	0.6925
81.40	0.6926
81.70	0.6929
81.90	0.6931
82.20	0.6933
82.40	0.6934
82.70	0.6939
82.90	0.6939
83.20	0.6942
83.40	0.6944
83.70	0.6947
83.90	0.6948
84.20	0.6951
84.40	0.6951
84.70	0.6955
84.90	0.6955
85.20	0.6960
85.40	0.6960
85.70	0.6962
85.90	0.6963
86.20	0.6966
86.40	0.6967
86.70	0.6971
86.90	0.6971
87.20	0.6975
87.40	0.6976
87.70	0.6978
87.90	0.6981
88.20	0.6984
88.40	0.6987
88.70	0.6988
88.90	0.6988
89.20	0.6994
89.40	0.6993
89.70	0.6993
89.90	0.6995
90.20	0.6999
90.40	0.7000
90.70	0.7001
90.90	0.7001
91.20	0.7004
91.40	0.7005
91.70	0.7007
91.90	0.7008
92.20	0.7011
92.40	0.7010
92.70	0.7013
92.90	0.7013
93.20	0.7016
93.40	0.7017
93.70	0.7018
93.90	0.7019
94.20	0.7021
94.40	0.7023
94.70	0.7024
94.90	0.7024
95.20	0.7026
95.40	0.7026
95.70	0.7030
95.90	0.7028
96.20	0.7031
96.40	0.7034
96.70	0.7035
96.90	0.7035
