Date : 9/16/2019	Time : 16:37:02	
C:\UVWINLAB\DNA61U1.SP	
23.00	0.6349
23.20	0.6350
23.40	0.6349
23.60	0.6350
23.80	0.6347
24.00	0.6348
24.20	0.6349
24.40	0.6351
24.60	0.6349
24.80	0.6350
25.00	0.6350
25.20	0.6350
25.40	0.6351
25.60	0.6350
25.80	0.6351
26.00	0.6350
26.20	0.6350
26.40	0.6351
26.60	0.6352
26.80	0.6353
27.00	0.6351
27.20	0.6352
27.40	0.6352
27.60	0.6352
27.80	0.6352
28.00	0.6354
28.20	0.6354
28.40	0.6353
28.60	0.6354
28.80	0.6352
29.00	0.6355
29.20	0.6355
29.40	0.6355
29.60	0.6354
29.80	0.6355
30.00	0.6356
30.20	0.6356
30.40	0.6356
30.60	0.6357
30.80	0.6358
31.00	0.6358
31.20	0.6358
31.40	0.6359
31.60	0.6358
31.80	0.6358
32.00	0.6359
32.20	0.6358
32.50	0.6361
32.70	0.6361
33.00	0.6360
33.20	0.6361
33.50	0.6362
33.70	0.6362
34.00	0.6362
34.20	0.6361
34.50	0.6364
34.70	0.6364
35.00	0.6364
35.20	0.6365
35.50	0.6366
35.70	0.6367
36.00	0.6367
36.20	0.6368
36.50	0.6367
36.70	0.6369
37.00	0.6370
37.20	0.6370
37.50	0.6372
37.70	0.6374
38.00	0.6375
38.20	0.6373
38.50	0.6376
38.70	0.6377
39.00	0.6376
39.20	0.6378
39.50	0.6378
39.70	0.6379
40.00	0.6379
40.20	0.6381
40.50	0.6384
40.70	0.6382
41.00	0.6385
41.20	0.6385
41.50	0.6388
41.70	0.6388
42.00	0.6389
42.20	0.6390
42.50	0.6392
42.70	0.6393
43.00	0.6395
43.20	0.6395
43.50	0.6399
43.70	0.6400
44.00	0.6401
44.20	0.6403
44.50	0.6403
44.70	0.6406
45.00	0.6409
45.20	0.6409
45.50	0.6413
45.70	0.6413
46.00	0.6416
46.20	0.6419
46.50	0.6422
46.70	0.6424
47.00	0.6426
47.20	0.6426
47.50	0.6430
47.70	0.6431
48.00	0.6434
48.20	0.6438
48.50	0.6441
48.70	0.6442
49.00	0.6448
49.20	0.6448
49.50	0.6454
49.70	0.6454
50.00	0.6459
50.20	0.6460
50.50	0.6467
50.70	0.6469
51.00	0.6476
51.20	0.6476
51.50	0.6480
51.70	0.6480
52.00	0.6490
52.20	0.6493
52.50	0.6499
52.70	0.6500
53.00	0.6509
53.20	0.6513
53.50	0.6519
53.70	0.6519
54.00	0.6529
54.20	0.6532
54.50	0.6540
54.70	0.6547
55.00	0.6554
55.20	0.6558
55.50	0.6566
55.70	0.6566
56.00	0.6580
56.20	0.6586
56.50	0.6595
56.70	0.6602
57.00	0.6612
57.20	0.6617
57.50	0.6628
57.70	0.6628
58.00	0.6645
58.20	0.6650
58.50	0.6662
58.70	0.6672
59.00	0.6683
59.20	0.6690
59.50	0.6706
59.70	0.6706
60.00	0.6722
60.20	0.6732
60.50	0.6743
60.70	0.6751
61.00	0.6767
61.20	0.6773
61.50	0.6790
61.70	0.6790
62.00	0.6812
62.20	0.6821
62.50	0.6836
62.70	0.6846
63.00	0.6861
63.20	0.6867
63.50	0.6885
63.70	0.6885
64.00	0.6910
64.20	0.6917
64.40	0.6927
64.70	0.6944
64.90	0.6952
65.20	0.6966
65.40	0.6972
65.70	0.6989
65.90	0.6997
66.20	0.7009
66.40	0.7017
66.70	0.7030
66.90	0.7037
67.20	0.7049
67.40	0.7057
67.70	0.7068
67.90	0.7074
68.20	0.7084
68.40	0.7093
68.70	0.7101
68.90	0.7107
69.20	0.7120
69.40	0.7126
69.70	0.7137
69.90	0.7142
70.20	0.7150
70.40	0.7160
70.70	0.7165
70.90	0.7170
71.20	0.7180
71.40	0.7183
71.70	0.7189
71.90	0.7193
72.20	0.7201
72.40	0.7206
72.70	0.7210
72.90	0.7210
73.20	0.7220
73.40	0.7222
73.70	0.7229
73.90	0.7231
74.20	0.7237
74.40	0.7241
74.70	0.7246
74.90	0.7246
75.20	0.7253
75.40	0.7256
75.70	0.7262
75.90	0.7265
76.20	0.7271
76.40	0.7276
76.70	0.7277
76.90	0.7277
77.20	0.7284
77.40	0.7286
77.70	0.7290
77.90	0.7291
78.20	0.7295
78.40	0.7299
78.70	0.7299
78.90	0.7299
