Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.650,0.650
dwB (ppm),2.28,0.14
kexAB (s^-1),4954,518
R1 (s^-1),1.90,0.05
R2 (s^-1),29.66,0.35
Red. Chi-sq,0.42
