Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),6.94,1.12
kexAB (s^-1),4060,1890
R1 (s^-1),3.30,0.12
R2 (s^-1),20.34,0.33
Red. Chi-sq,1.22
