Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),4.83,0.49
kexAB (s^-1),5957,990
R1 (s^-1),1.74,0.07
R2 (s^-1),30.17,0.54
Red. Chi-sq,0.57
