Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),4.05,0.57
kexAB (s^-1),2281,886
R1 (s^-1),5.14,0.27
R2 (s^-1),13.86,0.68
Red. Chi-sq,27.68
