Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.069,0.005
dwB (ppm),4.11,0.32
kexAB (s^-1),2170,352
R1 (s^-1),2.16,0.03
R2 (s^-1),13.94,0.08
Red. Chi-sq,0.22
