Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),2.72,0.06
kexAB (s^-1),480,27
R1 (s^-1),2.41,0.08
R2 (s^-1),29.96,0.15
Red. Chi-sq,0.41
