Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),2.73,0.05
kexAB (s^-1),2901,112
R1 (s^-1),1.48,0.07
R2 (s^-1),27.87,0.15
Red. Chi-sq,0.11
