Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),3.06,0.05
kexAB (s^-1),377,9
R1 (s^-1),1.24,0.07
R2 (s^-1),27.65,0.10
Red. Chi-sq,0.24
