Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),3.61,0.08
kexAB (s^-1),377,9
R1 (s^-1),1.13,0.07
R2 (s^-1),18.32,0.09
Red. Chi-sq,0.24
