Fit #1
gc8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.19,0.06
kexAB (s^-1),4309,346
R1 (s^-1),3.04,0.19
R2 (s^-1),18.32,0.62
Red. Chi-sq,1.95
