Fit #1
gc1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.38,0.07
kexAB (s^-1),4309,346
R1 (s^-1),3.48,0.23
R2 (s^-1),11.68,0.80
Red. Chi-sq,1.95
