Fit #1
G_C1p_Off_reduce_new_trunc Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),4.12,4.12
kexAB (s^-1),10,1
R1 (s^-1),1.92,0.06
R2 (s^-1),14.26,0.08
Red. Chi-sq,0.36
