Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),2.11,0.10
kexAB (s^-1),2867,239
R1 (s^-1),2.10,0.12
R2 (s^-1),25.92,0.32
Red. Chi-sq,0.79
