Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),2.200,2.200
dwB (ppm),-0.53,0.02
kexAB (s^-1),319,39
R1 (s^-1),1.46,0.03
R2 (s^-1),7.97,0.04
Red. Chi-sq,0.14
