Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.21,0.15
kexAB (s^-1),85,12
R1 (s^-1),1.77,0.09
R2 (s^-1),33.34,0.20
Red. Chi-sq,1.12
