Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),0.350,0.350
dwB (ppm),2.69,0.16
kexAB (s^-1),5053,492
R1 (s^-1),1.84,0.04
R2 (s^-1),33.61,0.19
Red. Chi-sq,0.55
