Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),5.65,0.65
kexAB (s^-1),3348,1130
R1 (s^-1),3.31,0.81
R2 (s^-1),24.44,1.82
Red. Chi-sq,4.11
